Tên	STT	Loại	Dân số (người)	Diện tích (km2)	Mật độ (người/km2)	Sáp nhập toàn bộ từ	Sáp nhập một phần từ	Giáp ranh	Full Address 1	Latitude 1	Longitude 1	SĐT
Bình Quới	35	Phường	46200	6.34	7287.07	Phường 27 (Quận Bình Thạnh), Phường 28 (Quận Bình Thạnh)		phường Thạnh Mỹ Tây, phường Bình Thạnh, phường Hiệp Bình, phường Thủ Đức, phường An Khánh	Số 1 khu hành chính Thanh Đa, phường Bình Quới	10.8155324	106.7205799	02835566641
Thông Tây Hội	151	Phường	121192	3.24	37404.94	Phường 8 (Quận Gò Vấp), Phường 11 (Quận Gò Vấp)		phường An Hội Tây, phường Gò Vấp, phường An Hội Đông và phường Tân Sơn	Số 175 Nguyễn Văn Khối, phường Thông Tây Hội	10.834552	106.6641888	02835899733
Nhà Bè	94	Xã	125832	37.1	3391.7	Thị trấn Nhà Bè, Xã Phú Xuân, Xã Phước Kiển, Xã Phước Lộc (H. Nhà Bè)		xã Hiệp Phước, phường Phú Thuận, phường Tân Hưng, phường Tân Mỹ, xã Bình Hưng và tỉnh Đồng Nai	Số 330 Nguyễn Bình, xã Nhà Bè	10.6743896	106.732963	02836222444
Đức Nhuận	63	Phường	71495	2.17	32946.99	Phường 4 (Quận Phú Nhuận), Phường 5 (Quận Phú Nhuận), Phường 9 (Quận Phú Nhuận)		phường Cầu Kiệu, phường Phú Nhuận, phường Tân Sơn Hoà, phường Hạnh Thông, phường Bình Lợi Trung và phường Gia Định	Số 744 Nguyễn Kiệm, phường Đức Nhuận	10.8038966	106.6847715	02836367113
Trung Mỹ Tây	158	Phường	126470	6.93	18249.64	Phường Trung Mỹ Tây (Quận 12), Phường Tân Chánh Hiệp (Quận 12)		phường Đông Hưng Thuận, phường Tân Thới Hiệp, xã Bà Điểm, xã Đông Thạnh	Số 036, phường Trung Mỹ Tây	10.8473475	106.6164001	02837157559
Tân Thới Hiệp	138	Phường	168060	8.06	20851.12	Phường Hiệp Thành (Quận 12), Phường Tân Thới Hiệp (Quận 12)		phường Trung Mỹ Tây, phường Thới An, phường An Hội Tây và xã Đông Thạnh	Số 226 Trương Thị Hoa, phường Tân Thới Hiệp	10.8669945	106.6420052	02837171423
Thới An	149	Phường	125657	14.9	8433.36	Phường Thới An (Quận 12), Phường Thạnh Xuân (Quận 12)		phường An Phú Đông, phường Tân Thới Hiệp, phường An Hội Đông, phường An Hội Tây và xã Đông Thạnh	Số 340 Lê Văn Khương, phường Thới An	10.8754927	106.6494849	02837173560
Bình Hưng Hoà	29	Phường	187950	8.47	22189.96	Phường Bình Hưng Hoà (Quận Bình Tân)	Phường Bình Hưng Hoà A (Quận Bình Tân), Phường Sơn Kỳ (Quận Tân Phú)	phường Bình Tân, phường Bình Trị Đông, phường Đông Hưng Thuận, phường Tây Thạnh, phường Tân Sơn Nhì, phường Phú Thọ Hoà và phường Phú Thạnh	Số 621 Tân Kỳ Tân Quý, phường Bình Hưng Hòa	10.7942213	106.6101615	02837503732
Bình Phú	34	Phường	75925	2.86	26547.2	Phường 10 (Quận 6), Phường 11 (Quận 6)	Phường 16 (Quận 8)	phường Bình Tiên, phường Phú Lâm, phường Bình Tây, phường An Lạc, phường Phú Định	Số 15 Chợ Lớn, phường Bình Phú	10.745922	106.6340882	02837551430
Bình Tân	36	Phường	161851	11.25	14386.76	Phường Bình Hưng Hoà B (Quận Bình Tân)	Phường Bình Trị Đông A (Quận Bình Tân), Phường Tân Tạo (Quận Bình Tân)	phường Tân Tạo, phường Bình Hưng Hoà, phường Bình Trị Đông, xã Vĩnh Lộc, xã Tân Vĩnh Lộc, xã Bình Lợi và xã Bà Điểm	Số 43 đường Số 16, phường Bình Tân	10.8132084	106.5938285	02837652524
Hiệp Phước	68	Xã	67754	63.33	1069.86	Xã Nhơn Đức (H. Nhà Bè), Xã Long Thới (H. Nhà Bè), Xã Hiệp Phước (H. Nhà Bè)		xã Nhà Bè, xã Hưng Long, xã Bình Khánh, xã An Thới Đông và tỉnh Tây Ninh	Số 209 Nguyễn Văn Tạo, xã Hiệp Phước	10.6562443	106.7290045	02837801716
Sài Gòn	115	Phường	47022	3.04	15467.76	Phường Bến Nghé (Quận 1)	Phường Đa Kao (Quận 1), Phường Nguyễn Thái Bình (Quận 1)	phường Tân Định, phường Bến Thành, phường Cầu Ông Lãnh, phường Thạnh Mỹ Tây, phường An Khánh, phường Xuân Hoà	Số 45 - 47 Lê Duẩn, phường Sài Gòn	10.7806307	106.6992978	02838234223
Vĩnh Hội	159	Phường	63015	1.17	53858.97	Phường 1 (Quận 4), Phường 3 (Quận 4)	Phường 2 (Quận 4), Phường 4 (Quận 4)	phường Khánh Hội, phường Cầu Ông Lãnh, phường Chợ Quán, phường Chánh Hưng, phường Tân Hưng	Số 130 đường 46, phường Vĩnh Hội	10.7590721	106.6980465	02838261566
Bến Thành	20	Phường	71875	1.85	38851.35	Phường Bến Thành (Quận 1), Phường Phạm Ngũ Lão (Quận 1)	Phường Cầu Ông Lãnh (Quận 1), Phường Nguyễn Thái Bình (Quận 1)	phường Sài Gòn, phường Cầu Ông Lãnh, phường Xuân Hoà, phường Bàn Cờ, phường Xóm Chiếu, phường Khánh Hội	Số 92 Nguyễn Trãi, phường Bến Thành	10.7701847	106.691297	02838390856
Cầu Ông Lãnh	46	Phường	78734	1.6	49208.75	Phường Nguyễn Cư Trinh (Quận 1), Phường Cầu Kho (Quận 1), Phường Cô Giang (Quận 1)	Phường Cầu Ông Lãnh (Quận 1)	phường Bến Thành, phường Bàn Cờ, phường Chợ Quán, phường Khánh Hội, phường Vĩnh Hội	Số 105 Trần Đình Xu, phường Cầu Ông Lãnh	10.7623797	106.6883225	02838395783
Bàn Cờ	15	Phường	67616	0.99	68298.99	Phường 1 (Quận 3), Phường 2 (Quận 3), Phường 3 (Quận 3), Phường 5 (Quận 3)	Phường 4 (Quận 3)	phường Xuân Hoà, phường Vười Lài, phường Bến Thành, phường Cầu Ông Lãnh, phường Chợ Quán	Số 611/20 Điện Biên Phủ (Số cũ 611C), phường Bàn Cờ	10.7685045	106.6771294	02838396136
Thạnh Mỹ Tây	148	Phường	153216	4.4	34821.82	Phường 19 (Quận Bình Thạnh), Phường 22 (Quận Bình Thạnh), Phường 25 (Quận Bình Thạnh)		phường Gia định, phường Bình Thạnh, phường Bình Quới, phường An Khánh và phường Sài Gòn	Số 85/16 Phạm Viết Chánh, phường Thạnh Mỹ Tây	10.7979692	106.7178996	02838404112
Gia Định	64	Phường	125946	2.76	45632.61	Phường 1 (Quận Bình Thạnh), Phường 2 (Quận Bình Thạnh), Phường 7 (Quận Bình Thạnh), Phường 17 (Quận Bình Thạnh)		phường Thạnh Mỹ Tây, phường Bình Thạnh, phường Bình Lợi Trung, phường Sài Gòn, phường Tân Định, phường Đức Nhuận và phường Cầu Kiệu	Số 98 Lê Lê Văn Duyệt, phường Gia Định	10.7987834	106.696475	02838412019
Bình Thạnh	38	Phường	126300	3.32	38042.17	Phường 12 (Quận Bình Thạnh), Phường 14 (Quận Bình Thạnh), Phường 26 (Quận Bình Thạnh)		phường Gia Định, phường Bình Lợi Trung, phường Thạnh Mỹ Tây, phường Bình Quới	Số 6 Phan Đăng Lưu, phường Bình Thạnh	10.8028235	106.6962029	02838417902
Phú Nhuận	104	Phường	68420	1.46	46863.01	Phường 8 (Quận Phú Nhuận), Phường 10 (Quận Phú Nhuận), Phường 11 (Quận Phú Nhuận), Phường 13 (Quận Phú Nhuận)	Phường 15 (Quận Phú Nhuận)	phường Đức Nhuận, phường Cầu Kiệu, phường Nhiêu Lộc, phường Xuân Hoà, phường Tân Sơn Hoà	Số 159 Nguyễn Văn Trỗi, phường Phú Nhuận	10.7951947	106.6752532	02838443921
Tân Sơn Nhất	134	Phường	84639	3.19	26532.6	Phường 4 (Quận Tân Bình), Phường 5 (Quận Tân Bình), Phường 7 (Quận Tân Bình)		phường Tân Sơn Hoà, phường Bảy Hiền, phường Tân Hoà, phường Tân Sơn và phường Nhiêu Lộc	Số 25/4-6 Hoàng Việt, phường Tân Sơn Nhất	10.7969675	106.6591899	02838445063
Bình Tiên	40	Phường	91520	1.61	56844.72	Phường 1 (Quận 6), Phường 7 (Quận 6), Phường 8 (Quận 6)		phường Bình Tây, phường Phú Định, phường Bình Phú, phường Chợ Lớn	Số 107 Cao Văn Lầu, phường Bình Tiên	10.7466025	106.6491769	02838552700
Minh Phụng	90	Phường	90808	1.27	71502.36	Phường 1 (Quận 11), Phường 7 (Quận 11), Phường 16 (Quận 11)		phường Bình Thới, phường Phú Thọ, phường Chợ Lớn, phường Bình Tây, phường Phú Lâm, phường Diên Hồng	Số 183 A Lý Nam Đế, phường Minh Phụng	10.7622984	106.6589562	02838553805
Phú Định	98	Phường	150389	5.85	25707.52	Phường Xóm Củi (Quận 8), Phường 14 (Quận 8), Phường 15 (Quận 8)	Phường 16 (Quận 8)	phường Bình Đông, phường Bình Tiên, phường Bình Phú, phường Chánh Hưng, phường An Đông, phường Chợ Lớn, phường An Lạc và xã Tân Nhựt	Trụ sở chính: 184 Lưu Hữu Phước, phường Phú Định; - Điểm tiếp nhận thứ nhất: 942 Nguyễn Duy, phường Phú Định; - Điểm tiếp nhận thứ hai: 450 Phú Định, phường Phú Định	10.7123728	106.6238394	02838555565
Bình Đông	24	Phường	155555	8.93	17419.37	Phường 6 (Quận 8)	Phường 7 (Quận 8), Phường 5 (Quận 8), Xã An Phú Tây (Huyện Bình Chánh)	phường Chánh Hưng, phường Phú Định, xã Tân Nhựt, xã Bình Chánh và xã Bình Hưng	Số 1094 Tạ Quang Bửu, phường Bình Đông	10.7639086	106.6143944	02838568756
Bình Thới	39	Phường	76478	1.52	50314.47	Phường 3 (Quận 11), Phường 10 (Quận 11)	Phường 8 (Quận 11)	phường Minh Phụng, phường Phú Thọ, phường Hoà Bình, phường Phú Lâm, phường Tân Phú	Số 270 Bình Thới, phường Bình Thới	10.763878	106.6435955	02838580500
Hoà Bình	70	Phường	69318	0.98	70732.65	Phường 5 (Quận 11), Phường 14 (Quận 11)		phường Bình Thới, phường Phú Thọ, phường Tân Phú, phường Tân Hoà	Số 347 Lạc Long Quân, phường Hòa Bình	10.7703634	106.6445325	02838600988
Hoà Hưng	73	Phường	96414	2.59	37225.48	Phường 12 (Quận 10), Phường 13 (Quận 10), Phường 15 (Quận 10)	Phường 14 (Quận 10)	phường Diên Hồng, phường Vườn Lài, phường Nhiêu Lộc, phường Xuân Hoà và phường Tân Hoà	A8 Châu Thới, phường Hòa Hưng	10.7805431	106.6643323	02838646278
Phú Lâm	101	Phường	87513	2	43756.5	Phường 12 (Quận 6), Phường 13 (Quận 6), Phường 14 (Quận 6)		phường Bình Tiên, phường Bình Phú và phường Bình Tây, phường An Lạc, phường Bình Trị Đông, phường Phú Thạnh, phường Tân Phú, phường Minh Phụng, phường Bình Thới	Số 152 Đặng Nguyên Cẩn, phường Phú Lâm	10.75404213	106.6314743	02838754751
Đông Hưng Thuận	61	Phường	182895	8.26	22142.25	Phường Tân Thới Nhất (Quận 12), Phường Tân Hưng Thuận (Quận 12), Phường Đông Hưng Thuận (Quận 12)		phường Trung Mỹ Tây, phường Tân Thới Hiệp, phường An Hội Tây, phường Tân Sơn, phường Bình Hưng Hoà, phường Tây Thạnh và xã Bà Điểm	Số 68, đường TTN14, phường Đông Hưng Thuận	10.8258709	106.6161443	02838833587
Xuân Thới Sơn	167	Xã	103643	35.21	2943.57	Xã Xuân Thới Đông (H. Hóc Môn), Xã Xuân Thới Sơn (H. Hóc Môn), Xã Tân Thới Nhì (H. Hóc Môn)		xã Hóc Môn, xã Bà Điểm, xã Củ Chi và tỉnh Tây Ninh	Số 1A Lê Thị Kim, ấp 11, xã Xuân Thới Sơn	10.87550143	106.5799589	02838910467
An Phú Đông	10	Phường	179115	14.59	12276.56	Phường An Phú Đông (Quận 12), Phường Thạnh Lộc (Quận 12)		phường Thới An, phường Hiệp Bình, phường Bình Lợi Trung, phường An Nhơn và phường Lái Thiêu, phường Bình Hoà	Số 540 Hà Huy Giáp, phường An Phú Đông	10.8776915	106.6787743	02838919001
Thái Mỹ	145	Xã	49862	62.44	798.56	Xã Trung Lập Thượng (H. Củ Chi), Xã Thái Mỹ (H. Củ Chi), Xã Phước Thạnh (H. Củ Chi)		xã Tân An Hội, xã An Nhơn Tây, xã Nhuận Đức và tỉnh Tây Ninh	Số 712 Phan Văn Khải, ấp Phước Hưng, xã Thái Mỹ	11.0046035	106.4322219	02838929336
Gò Vấp	65	Phường	110850	2.81	39448.4	Phường 10 (Quận Gò Vấp), Phường 17 (Quận Gò Vấp)		phường Hạnh Thông, phường An Nhơn, phường Thông Tây Hội, phường An Hội Đông và phường Tân Sơn	Số 332 (Số cũ 19) Quang Trung, phường Gò Vấp	10.8319219	106.669329	02838941929
Hạnh Thông	66	Phường	128865	3.37	38238.87	Phường 1 (Quận Gò Vấp), Phường 3 (Quận Gò Vấp)		phường An Nhơn, phường Bình Lợi Trung, phường Đức Nhuận, phường Xuân Hoà, phường Tân Sơn	Số 306 (Số cũ 304) Nguyễn Văn Nghi, phường Hạnh Thông	10.8202461	106.6831146	02838946157
Tân Định	121	Phường	48524	1.23	39450.41	Phường Tân Định (Quận 1)	Phường Đa Kao (Quận 1)	phường Sài Gòn, phường Gia Định, phường Cầu Kiệu, phường Xuân Hoà, phường Phú Nhuận	Số 58B Nguyễn Đình Chiểu, phường Tân Định	10.7889685	106.6998689	02839102126
Nhiêu Lộc	95	Phường	88090	1.71	51514.62	Phường 9 (Quận 3), Phường 11 (Quận 3), Phường 12 (Quận 3), Phường 14 (Quận 3)		phường Xuân Hoà, phường Phú Nhuận, phường Tân Sơn Nhất, phường Vườn Lài, phường Hoà Hưng	Số 82 Bà Huyện Thanh Quan, phường Nhiêu Lộc	10.7815668	106.6821972	02839317313
Xuân Hoà	165	Phường	48464	2.22	21830.63	Phường Võ Thị Sáu (Quận 3)	Phường 4 (Quận 3)	phường Nhiêu Lộc, phường Bàn Cờ, phường Tân Định, phường Sài Gòn, phường Vườn Lài, phường Phú Nhuận	Số 99 Trần Quốc Thảo (Số cũ 101), phường Xuân Hòa	10.7828058	106.6861435	02839326868
Khánh Hội	77	Phường	94507	1.07	88324.3	Phường 8 (Quận 4), Phường 9 (Quận 4)	Phường 2 (Quận 4), Phường 4 (Quận 4), Phường 15 (Quận 4)	phường Xóm Chiếu, phường Vĩnh Hội và phường Tân Hưng, phường Bến Thành, phường Cầu Ông Lãnh	Số 531 Vĩnh Khánh, phường Khánh Hội	10.7595724	106.7004851	02839404977
Xóm Chiếu	164	Phường	57875	1.94	29832.47	Phường 13 (Quận 4), Phường 16 (Quận 4), Phường 18 (Quận 4)	Phường 15 (Quận 4)	phường Khánh Hội, phường Tân Thuận, phường Sài Gòn, phường Bến Thành và phường An Khánh	Số 18 Đoàn Như Hài, phường Xóm Chiếu	10.7663304	106.7051269	02839431124
Bình Tây	37	Phường	63293	1.05	60279.05	Phường 2 (Quận 6), Phường 9 (Quận 6)		phường Bình Tiên, phường Bình Phú, phường Phú Lâm, phường Chợ Lớn, phường Minh Phụng	Số 154 Tháp Mười, phường Bình Tây	10.750568	106.653062	02839601096
Cầu Kiệu	45	Phường	62663	1.23	50945.53	Phường 1 (Quận Phú Nhuận), Phường 2 (Quận Phú Nhuận), Phường 7 (Quận Phú Nhuận)	Phường 15 (Quận Phú Nhuận)	phường Đức Nhuận, phường Phú Nhuận, phường Tân Định, phường Gia Định	Số 458 Phan Xích Long, phường Cầu Kiệu	10.7963144	106.6794012	02839903742
Dĩ An	58	Phường	227817	21.38	10655.61	Phường Dĩ An (TP. Dĩ An), Phường An Bình (TP. Dĩ An)	Phường Tân Đông Hiệp (TP. Dĩ An)	phường Đông Hoà, phường Bình Hoà, phường An Phú, phường Tân Đông Hiệp, phường Linh Xuân, phường Tam Bình	Đường Số 10, phường Dĩ An	10.89161795	106.763031	0789269979
Phước Thắng	112	Phường	52589	47.35	1110.64	Phường 11, Phường 12 (TP. Vũng Tàu)		phường Long Hương, phường Bà Rịa, phường Rạch Dừa, xã Long Sơn, xã Long Điền, xã Long Hải và Biển Đông	Số 7A đường Nguyễn Gia Thiều, phường Phước Thắng	10.4190791	107.1553756	0888800247
Tân Sơn	132	Phường	77229	10.12	7631.32		Phường 15 (Quận Tân Bình)	phường Tân Bình, phường Bảy Hiền, phường Tân Sơn Hoà, phường Tân Sơn Nhất, phường Hạnh Thông, phường Gò Vấp, phường Thông Tây Hội, phường An Hội Tây, phường Đông Hưng Thuận và phường Tây Thạnh	Số 822 (Số cũ 8/6) Trường Chinh, phường Tân Sơn	10.8184994	106.6317638	0898899877
Hóc Môn	75	Xã	93323	16.43	5680.04	Xã Tân Xuân (H. Hóc Môn), Xã Tân Hiệp (H. Hóc Môn), Thị trấn Hóc Môn (H. Hóc Môn)		xã Đông Thạnh, xã Xuân Thới Sơn, xã Bà Điểm, xã Củ Chi, xã Phú Hoà Đông, xã Bình Mỹ	Số 01, Lý Thường Kiệt, xã Hóc Môn	10.888064	106.5943072	0901345346
Long Phước	87	Phường	53092	34.29	1548.32	Phường Long Phước (TP. Thủ Đức), Phường Trường Thạnh (TP. Thủ Đức)		phường Long Bình, phường Long Trường, phường Tăng Nhơn Phú và tỉnh Đồng Nai	Số 239 Khu phố Long Thuận, phường Long Phước	10.80931	106.8595997	0901666611
Tân Mỹ	128	Phường	68124	6.45	10561.86	Phường Tân Phú (Quận 7)	Phường Phú Mỹ (Quận 7)	phường Tân Thuận, phường Phú Thuận, phường Tân Hưng và xã Nhà Bè	Số 7 đường Tân Phú, Phường Tân Mỹ	10.7323285	106.7266394	0902157779
Tân Phú	130	Phường	93117	2.52	36951.19	Phường Phú Trung (Quận Tân Phú), Phường Hoà Thạnh (Quận Tân Phú)	Phường Tân Thành (Quận Tân Phú), Phường Tân Thới Hoà (Quận Tân Phú)	phường Phú Thọ Hoà, phường Tân Sơn Nhì, phường Phú Thạnh, phường Bình Thới, phường Hoà Bình, phường Bảy Hiền, phường Tân Bình	Số 525 Âu Cơ, phường Tân Phú	10.78101251	106.6433249	0902379327
Thạnh An	147	Xã	5180	131.31	39.45	Xã Thạnh An (H. Cần Giờ) (giữ nguyên)		xã Bình Khánh, xã Cần Giờ, phường Tân Phước, phường Phú Mỹ và tỉnh Đồng Nai	Ấp Thạnh Bình, xã Thạnh An	10.4706724	106.9752091	0902953100
Cát Lái	44	Phường	68654	19.65	3493.84	Phường Cát Lái (TP. Thủ Đức), Phường Thạnh Mỹ Lợi (TP. Thủ Đức)		phường Bình Trưng, phường Long Trường, phường Tân Thuận, phường Phú Thuận và tỉnh Đồng Nai	Số 441A Nguyễn Thị Định, phường Cát Lái	10.7743255	106.7699143	0903045044
Thủ Đức	153	Phường	118952	8.81	13501.93	Phường Bình Thọ (TP. Thủ Đức), Phường Linh Chiểu (TP. Thủ Đức), Phường Trường Thọ (TP. Thủ Đức)	Phường Linh Đông (TP. Thủ Đức), Phường Linh Tây (TP. Thủ Đức)	phường Linh Xuân, phường Hiệp Bình, phường Tăng Nhơn Phú, phường Phước Long, phường Bình Quới	Số 2 Nguyễn Công Trứ, phường Thủ Đức	10.8474819	106.7716109	0903131683
Long Trường	89	Phường	73669	24.49	3008.13	Phường Long Trường (TP. Thủ Đức), Phường Phú Hữu (TP. Thủ Đức)		phường Long Phước, phường Bình Trưng, phường Cát Lái, phường Tăng Nhơn Phú, phường Phước Long và tỉnh Đồng Nai	Số 893 Nguyễn Duy Trinh, phường Long Trường	10.7986358	106.8237374	0903335533
Phú Thạnh	105	Phường	103780	2.99	34709.03	Phường Phú Thạnh (Quận Tân Phú), Phường Hiệp Tân (Quận Tân Phú)	Phường Tân Thới Hoà (Quận Tân Phú)	phường Phú Thọ Hoà, phường Tân Phú, phường Phú Lâm, phường Bình Trị Đông, phường Bình Hưng Hoà	Số 275 Nguyễn Sơn, phường Phú Thạnh	10.783329	106.6242735	0903391029
Hiệp Bình	67	Phường	215638	16.01	13468.96	Phường Hiệp Bình Chánh (TP. Thủ Đức), Phường Hiệp Bình Phước (TP. Thủ Đức)	Phường Linh Đông (TP. Thủ Đức)	phường Tam Bình, phường Thủ Đức, phường Bình Quới, phường Bình Lợi Trung, phường An Phú Đông và phường Bình Hoà	Số 721 Quốc lộ 13, phường Hiệp Bình	10.8295981	106.7133469	0903394370
